Unnamed: 0,번호,제목,저자,출판사,출판일
,204,"An Efficient Algorithm for Big Data Prediction of Pipelining, Concurrency (PCP) and Parallelism based on TSK Fuzzy Model",김장영,The Korea Institute of Information and Commucation Engineering,2015
,205,LSTM-based Anomaly Detection on Big Data for Smart Factory Monitoring,Van Quan Nguyen,한국디지털콘텐츠학회,2018
,206,Prediction and estimation in location-based travel service using social big data,이순아,한국호텔관광학회,2019
,207,Insights Discovery through Hidden Sentiment in Big Data: Evidence from Saudi Arabia's Financial Sector,"PARK, Young-Eun",Korea Distribution Science Association,2020
,208,Predicting Selling Price of First Time Product for Online Seller using Big Data Analytics,"Deora, Sukhvinder Singh",International Journal of Computer ScienceNetwork Security,2021
,209,Integrated Center for Analytics (ICA): An Integrative Approach for Big Data Stakeholders,최무진,한국로고스경영학회,2018
,210,Di-ANFIS: an integrated blockchain–IoT–big data-enabled framework for evaluating service supply chain performance,Seyed Mojtaba Hosseini Bamakan,한국CDE학회,2021
,211,Do High-Density Cities Have Better Proximity? : Global Comparative Study on Urban Compactness Using Nighttime Light Data and POI BIG Data,장창호,대한국토·도시계획학회,2020
,212,Public Opinion on Lockdown (PSBB) Policy in Overcoming COVID-19 Pandemic in Indonesia: Analysis Based on Big Data Twitter,Catur Suratnoaji,충남대학교 아시아여론연구소,2020
,213,Do High-Density Cities Have Better Proximity? : Global Comparative Study on Urban Compactness Using Nighttime Light Data and POI BIG Data,"Jang, Chang-ho",대한국토·도시계획학회,2020
,214,Medical Internet of Things and Big Data in Healthcare,Dimiter V. Dimitrov,대한의료정보학회,2016
,215,Analysis of Dental Language Network in News Articles Using News Big Data,문경희,대한예방치과학회,2020
,216,Access efficiency of small sized files in Big Data using various Techniques on Hadoop Distributed File System platform,"Alange, Neeta",International Journal of Computer ScienceNetwork Security,2021
,217,Creating a better healthcare environment: Usage of Big data recommendations,Zaya Sukhbat,한국경영과학회,2018
,218,A Study on Security Event Detection in ESM Using Big Data and Deep Learning,이혜민,한국인터넷방송통신학회,2021
,219,A Study on Prediction of Traffic Volume Using Road Management Big Data,"Sung, Hongki",한국측량학회,2015
,220,A Study on Security Event Detection in ESM Using Big Data and Deep Learning,"Lee, Hye-Min",The Institute of Internet,2021
,221,A Study on Adaptive Smart Platform for Intelligent Software in Big Data Environment,김정식,한국지식정보기술학회,2020
,222,Analysis of Landscape Characteristics of the Historical Culture Road Project - Based on Big Data Analysis of Insadong Road -,Geontae Kim,전북대학교 부설 휴양및경관계획연구소,2018
,223,Spatial correlation and determinants of subjective residential environment evaluation by household types using big data: Focusing on the residents of apartments in Seoul,"Jang, Yoonjeung(장윤정)",한국지적정보학회,2021
,224,Managing Big Data in the Meetings and Events Industry: A Qualitative Study,"Kim, Woohyuk(김우혁)",한국관광레저학회,2019
,225,Big Data-Driven Approach for Health Inequalities in Foreign Patients with Injuries Visiting Emergency Rooms,Jin Young Kang,대한의료정보학회,2020
,226,A Keyword Network Analysis of Standard Medical Terminology for Musculokeletal System Using Big Data,최병관,한국디지털정책학회,2022
,227,Big Data-Based Analysis of Characteristics of Consumption Sales by Region and Age : Focused on Seoul,이수빈,대한국토·도시계획학회,2021
,228,The Development of Big Data-based Accident Cause Classification System = 빅데이터 기반 사고원인 분류체계 고도화,Dae Ho Kim(김대호),대한인간공학회,2019
,229,Big Data-Based Analysis of Characteristics of Consumption Sales by Region and Age : Focused on Seoul,"Lee, Su-Bin",대한국토·도시계획학회,2021
,230,Spatial correlation and determinants of subjective residential environment evaluation by household types using big data: Focusing on the residents of apartments in Seoul,장윤정,한국지적정보학회,2021
,231,Managing Big Data in the Meetings and Events Industry: A Qualitative Study,김우혁,(사)한국관광레저학회,2019
,232,A Novel Decision Model to Support the Prediction of Asthma Among the Big Data’s of Various Different Patient’s,Abhinav Hans,보안공학연구지원센터,2016
,233,A Method of Detecting Careless Email Use that May Cause Security Problems Based on Analysis of Enterprise Email Big Data,Sung-Min Kim,보안공학연구지원센터,2016
,234,Utilizing Big Data and Fuzzy Inference for Evaluation of Port Operations,Wahyu Andy Prastyabudi,대한산업공학회,2018
,235,A Group Key based Security Model for Big Data System,Heeyoul Kim,보안공학연구지원센터,2016
,236,Solving the SW Industry Human Resource Paradox through Big Data: A Study on News Network Analysis,Juho Song,한국정보통신학회,2021
,237,Constructing Efficient Regional Hazardous Weather Prediction Models through Big Data Analysis,이재동,한국지능시스템학회,2016
,238,Constructing Efficient Regional Hazardous Weather Prediction Models through Big Data Analysis,Jaedong Lee,한국지능시스템학회,2016
,239,A Study on the Consumer Perception and Keyword Analysis of Meal-kit Using Big Data,정선미,한국인터넷방송통신학회,2022
,240,Research on Big Data-Based E-Learning Contents Authoring Services,Seung-Hwan Ju,보안공학연구지원센터,2016
,241,Inter-category Map: Building Cognition Network of General Customers through Big Data Mining,"Song, Gil-Young",Korean Society for Internet Information,2014
,242,A Study on the Consumer Perception and Keyword Analysis of Meal-kit Using Big Data,"Jung, Sunmi",The Institute of Internet,2022
,243,Constructing Efficient Regional Hazardous Weather Prediction Models through Big Data Analysis,"Lee, Jaedong",Korean Institute of Intelligent Systems,2016
,244,Smart Space based on Platform using Big Data for Efficient Decision-making,이진경,한국정보화진흥원,2018
,245,A Map Reduce based Support Vector Machine for Big Data Classification,Anushree Priyadarshini,보안공학연구지원센터,2015
,246,Research and Technology Trend Analysis by Big Data-Based Smart Livestock Technology: a Review,김민지,한국농업기계학회,2021
,247,Effects of Experiences in AI and Big Data-based Fashion Shopping Apps on the Consumer’s Emotional Response and Continuance Intention,"Kim, Sun Ah(김선아)",한국디자인문화학회,2021
,248,A Study on Methodologies of Drug Repositioning Using Biomedical Big Data: A Focus on Diabetes Mellitus,김헌성,대한내분비학회,2022
,249,Performance Evaluation of Hadoop and Oracle Platform for Distributed Parallel Processing in Big Data Environments,A. K. M. Mahbubul Hossen,보안공학연구지원센터,2015
,250,Laparoscopic surgery versus open surgery for gastric cancer: big data analysis based on nationwide administrative claims data,Hyojung Hwang,대한외과학회,2020
,251,IT Jobs in the Era of Digital Transformation : Big Data Analytics,Ho Lee,한국경영정보학회,2019
,252,A Study on Prediction of Traffic Volume Using Road Management Big Data,성홍기,한국측량학회,2015
,253,IT Jobs in the Era of Digital Transformation: Big Data Analytics,이호,한국경영정보학회,2019
,254,Changing Disease Trends in the Northern Gyeonggi-do Province of South Korea from 2002 to 2013: A Big Data Study Using National Health Information Database Cohort,Young Soo Kim,질병관리본부,2018
,255,Data-Driven Healthcare & Analytics in a Big Data World,장혜정,대한의료정보학회,2015
,256,Integrating “Big Data” into Surgical Practice,Jaesoon Choi,대한외과학회,2018
,257,Critical Care Research Using “Big Data”: A Reality in the Near Future,Kwangha Lee,대한중환자의학회,2018
,258,"Interaction among Networks in the age of ""Big Data"": Social, Knowledge, Innovation, and Triple-Helix Networks","Jung, Kyujin",World Association for Triple Helix and Future Strategy Studies,2014
,259,"Surviving in the era of ""Big Data""",권석운,대한혈액학회,2013
,260,Public Perceptions Toward Ethnic Return Migrants in South Korea : A Big Data-Based Language Analysis,이문우,한국사회언어학회,2022
,261,A Study on Future Prediction and Policy Cases Using Big Data: Focus on Disaster Management,"Kim, Jong Eop",한국지방정부학회,2015
,262,The Possibilities as a Prediction Tool for Cancer Research of Big Data: Comparison of Incidence Rate of Korean Major Male and Urologic Cancers and Trend Scores,강동혁,대한비뇨기종양학회,2015
,263,Standardization Requirements Analysis on Big Data in Public Sector based on Potential Business Models,"Suwook Ha,Seungyun Lee,Kangchan Lee",보안공학연구지원센터,2014
,264,The Study on the Business Development Prospects Analysis Using Big Data,Hwan-Seok Yang,보안공학연구지원센터,2016
,265,Is Big Data a Big Dilemma or a Big Opportunity in China? Intellectual Property Protection in the Era of Big Data,Xiao Ma,이준국제법연구원,2018
,266,Applications Analysis of Big Data Analysis in the Medical Industry,Zhendong Ji,보안공학연구지원센터,2015
,267,Legal Concerns of Financial Institutions in the Big Data Era - The Use of De - Identified Personal Information without Prior Consent under the Korean Privacy Laws -,조혜찬,한국정보법학회,2016
,268,The Usage Needs and Adoption Intention of Manufacturing Big Data Technology in Small and Medium-sized Manufacturing Companies,김지대,한국기업경영학회,2016
,269,The Mediating Effect of Delivery Big Data Service Expectations on the Relationship between Perceived Mobile Usability and Smart Delivery Use Intention,천홍말,한국유통경영학회,2013
,270,The Concept of Pattern based Data Sharing in Big Data Environments,Muhammad Habib ur Rehman,보안공학연구지원센터,2015
,271,CASE STUDY ON BIG DATA MARKETING IN A KOREAN MULTICHANNEL RETAIL COMPANY,Jaehee Chung,글로벌지식마케팅경영학회,2016
,272,Big Data and the Prospects of Historical Research - A study of research in modern and contemporary Korean history - = 빅데이터와 역사학 연구의 전망,Minki Moon(문민기),고려대학교 한국사연구소,2019
,273,"Big data, how to balance privacy and social values = 빅데이터, 프라이버시와 사회적 가치의 조화방안",Joo-Seong Hwang,한국디지털정책학회,2013
,274,A Study on Policy and System Improvement Plan of Geo-Spatial Big Data Services in Korea,"Park, Joon Min",한국측량학회,2016
,275,Study on the Big Data Utilization for the Parliamentary Library and Research Services,Joonhwa Jung,한국의정연구회,2017
,276,BGP Design for the Separation of the Local Big Data Traffic in Data Center,Hyoung Woo Park,보안공학연구지원센터,2015
,277,The Big Data Applications in Film Industry Chain,Xinran Wang,보안공학연구지원센터,2016
,278,Big Data and the Prospects of Historical Research - A study of research in modern and contemporary Korean history -,문민기,고려대학교 한국사연구소,2019
,279,Challenges and Opportunities for Occupational Therapy in Big Data Research,홍익표,대한작업치료학회,2019
,280,The Big Data Analytics Regarding the Cadastral Resurvey News Articles,"Joo, Yong-Jin",한국측량학회,2014
,281,Big Data and Hadoop for Productive Social Commerce: Trending in Social Media Users and Entrepreneurs,Youn-Hwan Choi,보안공학연구지원센터,2016
,282,Big Data in Healthcare Hype and Hope = 의료 분야에 있어서 대용량 데이터의 활용,"Sul Gi, Kim(김슬기)",(사)한국CDE학회,2013
,283,Profiling the Use of Analytical Platforms and Future Architecture: From Big Data Professional’s Perspectives,최무진,한국로고스경영학회,2017
,284,Developing Big Data Usage Index Using AHP : Application of Major Industries,SungHyun Kim,한국EA학회,2017
,285,Big Data Analysis Framework for Healthcare and Social Sectors in Korea,송태민,대한의료정보학회,2015
,286,Research on the Application of Big Data Ecology in College Physical Education Teaching and Training,Yu Huan,한국스포츠학회,2020
,287,Data Lakes for Big Data and its Role in Current ICT,Ajit Singh,한국디지털융합학회,2021
,288,Adoption of Big Data Technologies for Communication Management in Large Projects,Suhail Memon,보안공학연구지원센터,2016
,289,A Study on Game Keyword Search Volume and Global Game Performance with Big Data,"LEE, Hyunjin",한국무역금융보험학회(구 한국무역보험학회),2017
,290,Utilizing AI and Big Data in Education: The Current State and Future Directions,이예경,한국열린교육학회,2021
,291,Agriculture Big Data Analysis System Based on Korean Market Information,Tserenpurev Chuluunsaikhan,한국멀티미디어학회,2019
,292,A Study on Policy and System Improvement Plan of Geo-Spatial Big Data Services in Korea,박준민,한국측량학회,2016
,293,Change Analysis and Development Direction of BK21 PLUS Project : Focusing on Social Big Data Analysis,Sung-Jun Myung,한국자치행정학회,2017
,294,Building an Analytical Platform of Big Data for Quality Inspection in the Dairy Industry = 유제품 산업의 품질검사를 위한 빅데이터 플랫폼 개발 : 머신러닝 접근법,Hyunseok Hwang(황현석),한국지능정보시스템학회,2018
,295,Big Data Analysis in School Adjustment Factors using Data Mining,Sujeong Ko,한국인터넷방송통신학회,2019
,296,The Impact of Big Data Investment on Firm Value,민지홍,한국유통과학회,2015
,297,Double Privacy Layer Architecture for Big Data Framework,Do-Eun Cho,보안공학연구지원센터(IJSEIA),2016
,298,"Big data, how to balance privacy and social values",황주성,The Society of Digital Policy and Management,2013
,299,A Proposal of a Defense Model for the Abnormal Data Collection using Trace Back Information in Big Data Environments,YanTing Mu,한국지식정보기술학회,2015
,300,Big Data Performance Evaluation Analysis Using Apache Pig,Gal Engelberg,보안공학연구지원센터,2016
,301,Development of Examination Model of Weather Factors on Garlic Yield Using Big Data Analysis,김신곤,The Korea Academia-Industrial cooperation Society,2018
,302,The Evolution of Big Data Ecosystems : Co-Hashtag Network Analysis and Community Structure Detection,Bongsug (Kevin) Chae,한국경영정보학회,2015
,303,Development of Examination Model of Weather Factors on Garlic Yield Using Big Data Analysis,Shinkon Kim(김신곤),한국산학기술학회,2018
,304,The Impact of Big Data Investment on Firm Value,"Min, Ji-Hong",Korea Distribution Science Association,2015
,305,A Study on Game Keyword Search Volume and Global Game Performance with Big Data,이현진,한국무역보험학회,2017
,306,A Trend Analysis of Floral Products and Services Using Big Data of Social Networking Services,박신영,인간식물환경학회,2019
,307,A review of big data analytics and healthcare,문석재,한국응용과학기술학회,2020
,308,Big data analysis and artificial intelligence in epilepsy – common data model analysis and machine learning-based seizure detection and forecasting,Chung Yoon Gi,대한소아청소년과학회,2022
,309,UPS Applying Big Data Analytics to Logistics:,Sung-Hee “Sunny” Park,한국경영정보학회,2014
,310,Development of Electric Trading System Using Big Data,Cheol-Woong Lee,보안공학연구지원센터,2014
,311,"Round and Round the Garden? Big Data, Small Government and the Balance of Power in the Information Age = 부질없는 정원 돌기? 빅데이터, 작은 정부 그리고 정보시대에서의 힘의 균형",Judith Rauhofer,서울대학교 공익산업법센터,2015
,312,"Research on Big Data Privacy Protection based on the Three-Dimensional Integration of Technology, Law, and Management",Dekui Wang,한국정보기술학회,2021
,313,"Big Data Strategies for Government, Society and Policy-Making","LEE, Jung Wan",Korea Distribution Science Association,2020
,314,A Study of Big Data Utilization in the South Korean Film Industry,Sangwon Ro,중앙대학교 영상콘텐츠융합연구소,2015
,315,Exploring Big Data Utilization in Christian Education,Heeja Kim,한국기독교교육정보학회,2014
,316,Medical Big Data Is Not Yet Available - Why We Need Realism Rather Than Exaggeration,김헌성,대한내분비학회,2019
,317,The Research and Application of a Big Data Storage Model,Na Liu,보안공학연구지원센터,2015
,318,A Study on the Development of Next Generation Intelligent Integrated Security Management Model using Big Data Technology,JeongBeom Kim,보안공학연구지원센터,2015
,319,A Study on the Application of Social Big Data in Energy Management System Using BlockChain Network for SmartCity,Young-Gon Kim(김영곤),한국에너지학회,2020
,320,Generating Traffic Safety Test Scenarios for Automated Vehicles using a Big Data Technique,서재현,대한토목학회,2019
,321,An Experimental Analysis of the Real Time Big Data Platform Performance based on the ParStream,Wonjung Jang,ICT플랫폼학회,2015
,322,Research on Execution of Civil Servants and Professional Ethics based on Data Mining Technique and Joint Modeling Analysis of Multiple Factors under Big Data Environment,Yang Du,보안공학연구지원센터,2016
,323,A Study on Big Data Platform Architecture-based Conceptual Measurement Model Using Comparative Analysis for Social Commerce,황성태,한국지식정보기술학회,2020
,324,A Business Application of the Business Intelligence and the Big Data Analytics,이기광,한국산업경영시스템학회,2019
,325,Research on Marketing Strategy of Social Network Media Based on Big Data Analysis,Hongmei Sun,보안공학연구지원센터,2016
,326,"Exploring the Role of Big Data in Reshaping Competitive Advantages in the Film and Television Industry = What Do We Know, What Can We Learn?",Meng Meng Wang,한국경영학회,2014
,327,Study on the Big Data Utilization for the Parliamentary Library and Research Services,정준화,한국의정연구회,2017
,328,A Classification Algorithm Based on Data Clustering and Data Reduction for Intrusion Detection System over Big Data,"Wang, Qiuhua",Korean Society for Internet Information,2019
,329,Towards Conceptual Predictive Modeling for Big Data Framework,Jeong-Sig Kim,보안공학연구지원센터(IJSEIA),2016
,330,Philosophical Telescope: Should We use Big Data Statistics as Analytic Tools in Philosophy of Sport?,Jin Hyunju,한국체육학회,2019
,331,Integration of Cloud and Big Data Analytics for Future Smart Cities,"Kang, Jungho",Korea Information Processing Society,2019
,332,Developing Big Data Usage Index Using AHP: Application of Major Industries,김성현,한국엔터프라이즈아키텍처학회,2017
,333,An Authentication Scheme for Seamless Big Data,Yoon-Su Jeong,중소기업융합학회,2015
,334,A Study on the Perception of Corona19 Period Play Culture Based on Big Data Analysis,정선진,한국인터넷방송통신학회,2020
,335,Research on the Application of Big Data Ecology in College Physical Education Teaching and Training,여환,한국스포츠학회,2020
,336,Big Data as a Solution to Shrinking the Shadow Economy,Myungki Nam(남명기),국제e-비즈니스학회,2016
,337,A Study on the Perception of Corona19 Period Play Culture Based on Big Data Analysis,"Jung, Seon-Jin",The Institute of Internet,2020
,338,Big Data Analysis on Oyster Growth and FLUPSY Environment,Hyun-Joo Yoo(유현주),한국기계가공학회,2020
,339,A Cost Effective Virtual Cluster with Hadoop Framework for Big Data Analytics,Seraj Al Mahmud Mostafa,보안공학연구지원센터,2015
,340,Factors Influencing Big Data Strategies: a View from Literature,Nattakarn Phaphoom,대한전자공학회,2015
,341,Data Management of Connected vehicle applications using Big Data technology,Lionel Nkenyereye,한국정보통신학회,2015
,342,Big Data in Smart Tourism: A Perspective Article,"Park, Sangwon",Smart Tourism Research Center,2021
,343,A Study on Concepts and Utilization of Geo-Spatial Big Data in South Korea,유선철,대한토목학회,2016
,344,CUSTOMER RELATIONSHIP MANAGEMENT FOR JOINT DISEASES BASED ON BIG DATA ENVIRONMENT,Myung- Ki Nam,한국엔터테인먼트산업학회,2018
,345,A Study on the Big Data Log Analysis for Security,Kyung-Sik Jeon,보안공학연구지원센터,2016
,346,Big Data Analysis on Oyster Growth and FLUPSY Environment,유현주,한국기계가공학회,2020
,347,Marketing Performance and Big Data Use During the COVID-19 Pandemic: A Case Study of SMEs in Indonesia,Sampurno WIBOWO,한국유통과학회,2021
,348,A Study on Development of a Tourism Course in Seosan using Social using Media Big Data,Yeon-Joo Ha,한국인터넷방송통신학회,2021
,349,The Current Situation of the Big Data Utilization in the Agricultural Food Area and its Future Direction,"Chung, Daniel Byungho",Korean Society of Food and Agricultural Information Science,2013
,350,Crime Pattern Analysis based on Machine Learning and Big Data using Apache Spark,Palash Sontakke,한국디지털융합학회,2018
,351,Cloud Computing Platforms for Big Data Adoption and Analytics,"Hussain, Mohammad Jabed",International Journal of Computer ScienceNetwork Security,2022
,352,Big Data Analysis in School Adjustment Factors using Data Mining,고수정,한국인터넷방송통신학회,2019
,353,"Challenges of Big Data in Practice: Leadership, Strategy, and Operations",최무진,한국로고스경영학회,2014
,354,A Study on Development of a Tourism Course in Seosan using Social using Media Big Data,"Ha, Yeon-Joo",The Institute of Internet,2021
,355,Big Data and Blockchain to Improve Performance of Professional Sports Teams,Yuri Hong,한국정보통신학회,2018
,356,The Current Situation of the Big Data Utilization in the Agricultural Food Area and its Future Direction,Daniel Byungho Chung,한국농식품정보과학회,2013
,357,The Big Data Analytics Regarding the Cadastral Resurvey News Articles,주용진,한국측량학회,2014
,358,A Study on Deep Learning Model-based Object Classification for Big Data Environment,김정식,한국소프트웨어감정평가학회,2021
,359,Big Data Analysis in School Adjustment Factors using Data Mining,"Ko, Sujeong",The Institute of Internet,2019
,360,A Study on Exploring Direction for Future Education for the Common Good Based on Big Data,Byung-Man Kim,중소기업융합학회,2022
,361,Exploring Big Data Utilization in Christian Education,김희자,한국기독교교육정보학회,2014
,362,Police ACTIVITIES in the Age of BIG DATA Utilization,Park Han-ho,J-INSTITUTE,2018
,363,Application of Data Mining in Fiscal Expenditure on the New Urbanization and Income Gap based on Network Big Data,Yan Liu,보안공학연구지원센터,2016
,364,A Study on Design of Real-time Big Data Collection and Analysis System based on OPC-UA for Smart Manufacturing of Machine Working,"Kim, Jaepyo",The Institute of Internet,2021
,365,A Security-Enhanced Identity-Based Batch Provable Data Possession Scheme for Big Data Storage,"Zhao, Jining",Korean Society for Internet Information,2018
,366,Introducing big data analysis using data from National Health Insurance Service,안은진,대한마취통증의학회,2020
,367,Social big data analysis on demands for the Korean sport industry,김민수,국민체육진흥공단 한국스포츠정책과학원,2020
,368,Does Big Data Analytics Enhance Sustainability and Financial Performance? The Case of ASEAN Banks,"ALI, Qaisar",Korea Distribution Science Association,2020
,369,Based on Multi-Thread Dynamic Self-Healing Technology Application Research in Big Data Image Processing,Guangyu Xu,보안공학연구지원센터,2016
,370,An Empirical Analysis on the Design Strategy of Big Data System in the context of Small and Medium-Sized Manufacturing Firms,Ji-Dae Kim,한국EA학회,2016
,371,A Study on Design of Real-time Big Data Collection and Analysis System based on OPC-UA for Smart Manufacturing of Machine Working,김재표,한국인터넷방송통신학회,2021
,372,Addressing Big Data solution enabled Connected Vehicle services using Hadoop,라이오넬,The Korea Institute of Information and Commucation Engineering,2015
,373,"Implementing a Sustainable Decision-Making Environment - Cases for GIS, BIM, and Big Data Utilization -",김환용,한국BIM학회,2016
,374,NEUROMARKETING AND BIG DATA ANALYTICS FOR RESEARCH USING FUNCTIONAL MAGNETIC RESONANCE IMAGING,Eun-Ju Lee,글로벌지식마케팅경영학회,2018
,375,Riding a Bike Not Owned by Me in Bad Air : Big Data Analysis on Bike Sharing,Taekyung Kim,한국경영정보학회,2019
,376,Dengue Epidemic Risk Analysis and Awareness System using Big Data Analytics Framework,Muthukumaran Maruthappa,한국경영정보학회,2015
,377,Mobile Cloud-based Big Data Library Management System,Jing Li,보안공학연구지원센터,2016
,378,A Study of Market Scale and Share Estimation Methodology on Effective Feasibility Analysis of IT R&D Program Using Fuzzy & Big Data,Jae Hyuk Cho,보안공학연구지원센터,2016
,379,NewSQL : Towards Next-Generation Scalable RDBMS for Online Transaction Processing (OLTP) for Big Data Management,A. B. M. Moniruzzaman,보안공학연구지원센터,2014
,380,Construction of Spatiotemporal Big Data Using Environmental Impact Assessment Information,Namwook Cho,대한원격탐사학회,2020
,381,Current Trends of Big Data Research Using the Korean National Health Information Database,김미경,대한당뇨병학회,2022
,382,Performance Optimization of Big Data Center Processing System - Big Data Analysis Algorithm Based on Location Awareness,Wen-Xuan Zhao,한국콘텐츠학회,2021
,383,Change Analysis and Development Direction of BK21 PLUS Project: Focusing on Social Big Data Analysis,명성준,한국자치행정학회,2017
,384,Application of Multidimensional Data Analysis in Power Marketing Decision Support System Based on Big Data,Sun Zhineng,보안공학연구지원센터,2016
,385,A Study on the Collection Site Profiling and Issue-detection Methodology for Analysis of Customer Feedback on Social Big Data,"Eun-Jee Song,Min-Shik Kang",보안공학연구지원센터,2014
,386,Construction of Spatiotemporal Big Data Using Environmental Impact Assessment Information,"Cho, Namwook",The Korean Society of Remote Sensing,2020
,387,Design and Implementation of Water Quality Management Middleware based on Big Data and Neural Networks,Sung-Hoon Park(박성훈),한국디지털콘텐츠학회,2021
,388,Understanding the Food Hygiene of Cruise through the Big Data Analytics using the Web Crawling and Text Mining,타오 슈팅,(사)한국조리학회,2018
,389,Estimation of ship operational efficiency from AIS data using big data technology,"Kim, Seong-Hoon",The Society of Naval Architects of Korea,2020
,390,Analysis for Daily Food Delivery & Consumption Trends in the Post-Covid-19 Era through Big Data,Chan-u Jeong(정찬우),한국컴퓨터정보학회,2021
,391,Suggestion of Building the AI Code of ETHICS through Deep Learning and Big Data Based AI,김현수,J-INSTITUTE,2021
,392,Big Data Log Analysis for Security,Kyung-Sik Jeon,한국정보통신학회,2015
,393,A Meta Analysis of the Studies on Edible Insects in Korea Utilizing Big Data,Ok-Kyeong Yu,한국정보통신학회,2018
,394,Big Data Analytics of Multi-Relationship Online Social Network Based on Multi-Subnet Composited Complex Network,Gengxin Sun,보안공학연구지원센터,2015
,395,Elicitation of design factors through big data analysis of online customer reviews for washing machines,김학선,대한기계학회,2019
,396,Predicting required licensed spectrum for the future considering big data growth,"Shayea, Ibraheem",Electronics and Telecommunications Research Institute,2019
,397,Big data analysis of online reviews of hotel service quality: solo travelers vs. non-solo travelers,"Cho, Dong Seok(조동석)",한국호텔관광학회,2020
,398,Analysis of sedation and general anesthesia in patients with special needs in dentistry using the Korean healthcare big data,"Kim, Jieun",The Korean Dental Society of Anesthsiology,2022
,399,A Method for Quantitative Analysis of the Impact of the Big Data 3 V’s on the Entertainment 3 C’s,N. Park,한국엔터테인먼트산업학회,2014
,400,A Different Perspective on the P-value Problem with Big Data,Tae Yoon Kim,계명대학교 자연과학연구소,2020
,401,The Nuclear Techniques and the Selection of Model Parameters in Big Data,Wang Chunhong,보안공학연구지원센터,2014
,402,Bankruptcy Prediction Modeling Using Market Sentiment Derived from Big Data Analytics,Nam-ok Jo,한국경영정보학회,2015
,403,Comparative Study of Multi-query Optimization Techniques using Shared Predicate-based for Big Data,Radhya Sahal,보안공학연구지원센터,2016
,404,A Study on Deriving an Optimal Route for Foreign Tourists through the Analysis of Big Data,Seong-Taek Park,중소기업융합학회,2019
,405,Big data Analysis using Python in Agriculture Forestry and Fisheries,So hee Kim,한국인터넷방송통신학회,2016
,406,Integration of Cloud and Big Data Analytics for Future Smart Cities,강정호,한국정보처리학회,2019
,407,Research on Model of College Network Rumor Propagation in the Era of Big Data,Yongqiang Zuo,보안공학연구지원센터,2016
,408,Big Data Acquisition and Analysis Platform for Intermodal Transport,Kai Xu,보안공학연구지원센터,2016
,409,Research on Forecast Model and Application of Customer Loyalty under the Background of Big Data,Yihua Zhang,보안공학연구지원센터,2014
,410,BIG DATA ANALYSIS ROLE IN ADVANCING THE VARIOUS ACTIVITIES OF DIGITAL LIBRARIES: TAIBAH UNIVERSITY CASE STUDY- SAUDI ARABIA,"Alotaibi, Saqar Moisan F",International Journal of Computer ScienceNetwork Security,2021
,411,Big data Analysis using Python in Agriculture Forestry and Fisheries,"Kim, So hee",The Institute of Internet,2016
,412,Big Data Analysis to Expand Support for Cervical Cancer Vaccine,Ji-Hye Noh,ASCONS,2021
,413,Big Data Based Dynamic Flow Aggregation over 5G Network Slicing,"Sun, Guolin",Korean Society for Internet Information,2017
,414,Cyber Physical Energy System for Saving Energy of the Dyeing Process with Industrial Internet of Things and Manufacturing Big Data,Kyu Tae Park,한국정밀공학회,2020
,415,Characteristics on Big Data of the Meteorology and Climate Reported in the Media in Korea,Jae-Won Choi,계명대학교 자연과학연구소,2018
,416,Big Data in Literary Studies,Sora Lim,보안공학연구지원센터,2015
,417,Analysis of sedation and general anesthesia in patients with special needs in dentistry using the Korean healthcare big data,김지은,대한치과마취과학회,2022
,418,Big data Analysis using Python in Agriculture Forestry and Fisheries,"So hee, Kim",한국인터넷방송통신학회,2016
,419,Challenges in Big Data Cloud Computing And Future Research Prospects,Santosh Kumar Majhi,한국산학기술학회,2015
,420,Protective effects of Achyranthes Radix root extract against CDDP-induced liver and kidney damage in SD rats: Application of big data analysis to traditional medicine,박현수,한국예방수의학회,2020
,421,TREND ANALYSIS FOR CUSTOMER FASHION INTENTION BASED ON BIG DATA ENVIRONMENT,Myung- Ki Nam,한국엔터테인먼트산업학회,2018
,422,Home Sales Index Prediction Model based on Cluster and Principal Component Statistical Approaches in a Big Data Analytic Concept,한승우,대한토목학회,2017
,423,Modeling and Application Research on Customer Churn Warning System Based in Big Data Era,Yihua Zhang,보안공학연구지원센터,2014
,424,Big data analysis of online reviews of hotel service quality: solo travelers vs. non-solo travelers,조동석,한국호텔관광학회,2020
,425,A Study on Big Data Processing Mechanism & Applicability,Byung-Tae Chun,보안공학연구지원센터,2014
,426,Comparative Analysis of Centralized Vs. Distributed Locality-based Repository over IoT-Enabled Big Data in Smart Grid Environment,Isma Farah Siddiqui,한국컴퓨터정보학회,2017
,427,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,유경미,한국인터넷방송통신학회,2022
,428,Big Data Analysis of Busan Civil Affairs Using the LDA Topic Modeling Technique,박주섭,한국지능정보사회진흥원,2020
,429,Predicting required licensed spectrum for the future considering big data growth,Ibraheem Shayea,한국전자통신연구원,2019
,430,A Feasibility Study on the Research Infrastructure Projects for the High-Speed Big Data Processing Devices Using AHP,Dae Ho Kim,보안공학연구지원센터,2016
,431,NEW PRODUCT PLANNING FOR B2C MARKET BASED ON BIG DATA ENVIRONMENT,Myung Ki Nam,한국엔터테인먼트산업학회,2018
